gene	protein_length	n_tmd	n_WT_lost	has_WT_lost	n_any_eS7_event	has_any_eS7_event	n_4KR_specific	has_4KR_specific	n_shared	has_shared	single_pass	multi_pass	loc_er	loc_golgi	loc_cell_membrane	loc_mitochondrion	loc_vacuole	loc_nucleus	is_transporter_like	is_transferase_like	mean_tmd_length_aa	mean_relative_tmd_position	min_relative_tmd_position	max_relative_tmd_position	subcellular_location	protein_name	entry_name
AAC1	309	6	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	23.0	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:12740376}; Multi-pass membrane protein {ECO:0000255}.	ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (Adenine nucleotide translocator 1) (ANT 1)	ADT1_YEAST
AAC3	307	6	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	23.0	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12893834}; Multi-pass membrane protein {ECO:0000269|PubMed:24474793, ECO:0000305|PubMed:12893834}.	ADP/ATP translocase 3 (ADP,ATP carrier protein 3) (Adenine nucleotide translocator 3) (ANT 3)	ADT3_YEAST
ADP1	1049	9	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	20.666666666666668	0.5555555555555556	0.1111111111111111	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095}.	Probable ATP-dependent permease	ADP1_YEAST
ADY2	283	6	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	21.0	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16286509, ECO:0000269|PubMed:17395151}; Multi-pass membrane protein {ECO:0000269|PubMed:16286509, ECO:0000269|PubMed:17395151}. Vacuole membrane {ECO:0000269|PubMed:16286509}; Multi-pass membrane protein {ECO:0000269|PubMed:16286509}. Note=Localizes to large detergent resistant patches of the cell membrane (DRM) enriched in ergosterol and sphingolipids (PubMed:17395151).	Accumulation of dyads protein 2 (Ammonia transport outward protein 1)	ADY2_YEAST
AFG3	761	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	21.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:8681382}; Multi-pass membrane protein {ECO:0000255}.	Mitochondrial inner membrane m-AAA protease component YTA10 (EC 3.4.24.-) (EC 3.6.-.-) (ATPase family gene 3 protein) (Tat-binding homolog 10)	AFG3_YEAST
AGC1	902	6	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	21.166666666666668	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:14622413}; Multi-pass membrane protein {ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:14622413}.	Mitochondrial aspartate-glutamate transporter AGC1 (Aspartate-glutamate carrier 1)	AGC1_YEAST
AGP1	633	12	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	21.166666666666668	0.5416666666666666	0.0833333333333333	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.	General amino acid permease AGP1 (Asparagine/glutamine permease)	AGP1_YEAST
AGP2	596	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	21.0	0.5416666666666666	0.0833333333333333	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	General amino acid permease AGP2	AGP2_YEAST
AGP3	558	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	21.0	0.5416666666666666	0.0833333333333333	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	General amino acid permease AGP3	AGP3_YEAST
AI3	415	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	21.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Mitochondrion. Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Intron-encoded DNA endonuclease aI3 (DNA endonuclease I-SceIII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI3 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIII)]	SCE3_YEAST
AI5_ALPHA	630	10	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	20.9	0.55	0.1	1.0	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}. Membrane {ECO:0000255, ECO:0000305}; Multi-pass membrane protein {ECO:0000255, ECO:0000305}.	Intron-encoded DNA endonuclease aI5 alpha (DNA endonuclease I-SceIV) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI5 alpha (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIV)]	SCE4_YEAST
AIF1	378	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	19.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Nucleus {ECO:0000269|PubMed:15381687}. Note=Translocates from mitochondrion to the nucleus upon apoptosis induction.	Apoptosis-inducing factor 1 (EC 1.-.-.-) (Cercosporin and photosensitizer-detoxification protein 1)	AIF1_YEAST
AIM11	137	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	20.5	0.75	0.5	1.0	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Altered inheritance of mitochondria protein 11 (Genetic interactor of prohibitins 8)	AIM11_YEAST
AIM14	570	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	21.0	0.6	0.2	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	Probable metalloreductase AIM14 (EC 1.16.1.-) (Altered inheritance of mitochondria protein 14)	AIM14_YEAST
