gene	protein_length	n_tmd	n_WT_lost	has_WT_lost	n_any_eS7_event	has_any_eS7_event	n_4KR_specific	has_4KR_specific	n_shared	has_shared	single_pass	multi_pass	loc_er	loc_golgi	loc_cell_membrane	loc_mitochondrion	loc_vacuole	loc_nucleus	is_transporter_like	is_transferase_like	mean_tmd_length_aa	mean_relative_tmd_position	min_relative_tmd_position	max_relative_tmd_position	subcellular_location	protein_name	entry_name	tmd_length_median	tmd_length_std	tmd_length_min	tmd_length_max	relative_position_std	first_tmd_position	last_tmd_position	tmd_density	tmd_aa_fraction	mean_tmd_gap	max_tmd_gap	protein_hydrophobicity_mean	protein_aromatic_fraction	protein_positive_fraction	protein_negative_fraction	protein_KR_fraction	protein_DE_fraction	protein_charge_balance_pos_minus_neg	tmd_hydrophobicity_mean	tmd_hydrophobicity_std	tmd_hydrophobicity_min	tmd_hydrophobicity_max	tmd_aromatic_fraction_mean	tmd_aromatic_fraction_std	tmd_positive_fraction_mean	tmd_positive_fraction_std	tmd_negative_fraction_mean	tmd_negative_fraction_std	tmd_charge_balance_mean	tmd_charge_balance_std
AAC1	309	6	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	23.0	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:12740376}; Multi-pass membrane protein {ECO:0000255}.	ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (Adenine nucleotide translocator 1) (ANT 1)	ADT1_YEAST	21.5	2.6457513110645907	21.0	28.0	0.28463752127665554	0.1666666666666666	1.0	0.019417475728155338	0.44660194174757284	29.8	49.0	0.006472491909385114	0.12297734627831715	0.13592233009708737	0.0744336569579288	0.1262135922330097	0.0744336569579288	0.06148867313915857	0.8341277056277057	0.3721924718236787	0.0959999999999999	1.238095238095238	0.15545454545454546	0.06563173657984288	0.06797258297258298	0.05157393190963212	0.034083694083694084	0.026030562167722305	0.033888888888888885	0.042919193762787175
AAC3	307	6	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	23.0	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12893834}; Multi-pass membrane protein {ECO:0000269|PubMed:24474793, ECO:0000305|PubMed:12893834}.	ADP/ATP translocase 3 (ADP,ATP carrier protein 3) (Adenine nucleotide translocator 3) (ANT 3)	ADT3_YEAST	21.5	2.6457513110645907	21.0	28.0	0.28463752127665554	0.1666666666666666	1.0	0.019543973941368076	0.4495114006514658	29.6	49.0	0.0872964169381108	0.11400651465798045	0.13355048859934854	0.06840390879478828	0.13355048859934854	0.06840390879478828	0.06514657980456026	0.8180209235209235	0.3374710568435598	0.19200000000000006	1.1863636363636363	0.1386724386724387	0.06384690298009736	0.06797258297258298	0.05157393190963212	0.02813131313131313	0.020252468704473836	0.03984126984126984	0.04517678942606551
ADP1	1049	9	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	20.666666666666668	0.5555555555555556	0.1111111111111111	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095}.	Probable ATP-dependent permease	ADP1_YEAST	21.0	0.9428090415820634	18.0	21.0	0.28688765527462345	0.1111111111111111	1.0	0.008579599618684462	0.1773117254528122	66.875	312.0	-0.0008579599618685058	0.10200190657769304	0.10295519542421354	0.12011439466158245	0.09342230695900858	0.12011439466158245	-0.017159199237368916	1.8328042328042327	0.4328967184918942	1.1	2.39047619047619	0.16137566137566137	0.09509100928894935	0.010582010582010581	0.019797129030549955	0.029100529100529095	0.05237828008789241	-0.018518518518518517	0.061247814300477384
ADY2	283	6	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	21.0	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16286509, ECO:0000269|PubMed:17395151}; Multi-pass membrane protein {ECO:0000269|PubMed:16286509, ECO:0000269|PubMed:17395151}. Vacuole membrane {ECO:0000269|PubMed:16286509}; Multi-pass membrane protein {ECO:0000269|PubMed:16286509}. Note=Localizes to large detergent resistant patches of the cell membrane (DRM) enriched in ergosterol and sphingolipids (PubMed:17395151).	Accumulation of dyads protein 2 (Ammonia transport outward protein 1)	ADY2_YEAST	21.0	0.0	21.0	21.0	0.28463752127665554	0.1666666666666666	1.0	0.02120141342756184	0.4452296819787986	9.2	13.0	0.35123674911660774	0.14840989399293286	0.0636042402826855	0.07420494699646643	0.04946996466431095	0.07420494699646643	-0.010600706713780925	1.6571428571428573	0.4393959297362493	1.276190476190476	2.5809523809523807	0.2142857142857143	0.0659255862136355	0.0	0.0	0.007936507936507936	0.01774657124999833	-0.007936507936507936	0.01774657124999833
AFG3	761	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	21.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:8681382}; Multi-pass membrane protein {ECO:0000255}.	Mitochondrial inner membrane m-AAA protease component YTA10 (EC 3.4.24.-) (EC 3.6.-.-) (ATPase family gene 3 protein) (Tat-binding homolog 10)	AFG3_YEAST	21.0	0.0	21.0	21.0	0.25	0.5	1.0	0.002628120893561104	0.05519053876478318	87.0	87.0	-0.3629434954007885	0.07884362680683311	0.15111695137976347	0.11432325886990802	0.1314060446780552	0.11432325886990802	0.03679369250985545	1.6238095238095238	0.19523809523809543	1.4285714285714284	1.8190476190476192	0.23809523809523808	0.047619047619047616	0.0	0.0	0.0	0.0	0.0	0.0
AGC1	902	6	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	21.166666666666668	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:14622413}; Multi-pass membrane protein {ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:14622413}.	Mitochondrial aspartate-glutamate transporter AGC1 (Aspartate-glutamate carrier 1)	AGC1_YEAST	21.0	0.3726779962499649	21.0	22.0	0.28463752127665554	0.1666666666666666	1.0	0.0066518847006651885	0.14079822616407983	29.2	38.0	-0.44922394678492245	0.12416851441241686	0.14745011086474502	0.12416851441241686	0.12749445676274945	0.12416851441241686	0.023281596452328163	0.8946608946608946	0.5100383265122228	0.17619047619047615	1.5238095238095237	0.1176046176046176	0.04339213550867214	0.047258297258297256	0.054991656630566	0.047258297258297256	0.027504701467730007	0.0	0.06734350297014738
AGP1	633	12	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	21.166666666666668	0.5416666666666666	0.0833333333333333	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.	General amino acid permease AGP1 (Asparagine/glutamine permease)	AGP1_YEAST	21.0	0.5527707983925666	21.0	23.0	0.28767104412788863	0.0833333333333333	1.0	0.018957345971563982	0.40126382306477093	18.454545454545453	33.0	0.22701421800947866	0.12164296998420221	0.10110584518167456	0.08530805687203792	0.08056872037914692	0.08530805687203792	0.015797788309636643	1.7393547273982055	0.3761322022988654	1.0571428571428574	2.319047619047619	0.1576949620427881	0.07641702622919153	0.015527950310559006	0.02198422420455	0.015873015873015872	0.022447834323382456	-0.0003450655624568667	0.03319989809981709
AGP2	596	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	21.0	0.5416666666666666	0.0833333333333333	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	General amino acid permease AGP2	AGP2_YEAST	21.0	0.0	21.0	21.0	0.28767104412788863	0.0833333333333333	1.0	0.020134228187919462	0.4228187919463087	19.0	40.0	0.23154362416107377	0.14093959731543623	0.10570469798657718	0.08892617449664429	0.087248322147651	0.08892617449664429	0.01677852348993289	1.7654761904761902	0.3321471240552003	1.1238095238095238	2.142857142857143	0.15476190476190474	0.08276449847069131	0.015873015873015872	0.022447834323382456	0.015873015873015872	0.029695693545824933	0.0	0.04347004424644175
AGP3	558	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	21.0	0.5416666666666666	0.0833333333333333	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	General amino acid permease AGP3	AGP3_YEAST	21.0	0.0	21.0	21.0	0.28767104412788863	0.0833333333333333	1.0	0.021505376344086023	0.45161290322580644	17.454545454545453	30.0	0.4729390681003584	0.13261648745519714	0.08960573476702509	0.07347670250896057	0.07347670250896057	0.07347670250896057	0.016129032258064516	1.7345238095238094	0.22051034224164023	1.5238095238095237	2.2476190476190476	0.1706349206349206	0.0921284663987611	0.011904761904761904	0.02061965247105806	0.015873015873015872	0.022447834323382456	-0.003968253968253968	0.03615251420295356
AI3	415	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	21.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Mitochondrion. Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Intron-encoded DNA endonuclease aI3 (DNA endonuclease I-SceIII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI3 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIII)]	SCE3_YEAST	21.0	0.0	21.0	21.0	0.25	0.5	1.0	0.004819277108433735	0.10120481927710843	20.0	20.0	-0.29903614457831323	0.12771084337349398	0.12771084337349398	0.06746987951807229	0.11325301204819277	0.06746987951807229	0.060240963855421686	2.2380952380952377	0.2666666666666665	1.9714285714285713	2.5047619047619043	0.11904761904761904	0.023809523809523808	0.023809523809523808	0.023809523809523808	0.0	0.0	0.023809523809523808	0.023809523809523808
