feature	importance_gain
is_transporter_like	0.044686176
mean_tmd_gap	0.043560073
tmd_negative_fraction_std	0.040937595
n_tmd	0.033864778
loc_er	0.03166486
tmd_positive_fraction_mean	0.03033283
tmd_positive_fraction_std	0.0291003
is_transferase_like	0.028341677
tmd_hydrophobicity_mean	0.028327657
tmd_hydrophobicity_min	0.02674649
mean_tmd_length_aa	0.026745474
tmd_length_max	0.02664526
protein_KR_fraction	0.02595675
protein_charge_balance_pos_minus_neg	0.02512031
mean_relative_tmd_position	0.02484667
max_tmd_gap	0.024791166
tmd_charge_balance_mean	0.024755923
tmd_length_min	0.024277827
tmd_hydrophobicity_max	0.024133451
tmd_density	0.024071192
min_relative_tmd_position	0.024018269
protein_hydrophobicity_mean	0.023633648
tmd_aromatic_fraction_std	0.023183513
tmd_negative_fraction_mean	0.023070935
tmd_hydrophobicity_std	0.02287345
protein_DE_fraction	0.022465877
tmd_length_std	0.022460487
tmd_aromatic_fraction_mean	0.022124534
protein_aromatic_fraction	0.02208885
protein_negative_fraction	0.02190302
tmd_length_median	0.021814167
loc_golgi	0.021475734
tmd_aa_fraction	0.020853393
loc_vacuole	0.020383263
loc_cell_membrane	0.019771805
protein_positive_fraction	0.019575821
protein_length	0.01783765
tmd_charge_balance_std	0.017176662
loc_nucleus	0.013819322
loc_mitochondrion	0.010563108
last_tmd_position	0.0
first_tmd_position	0.0
relative_position_std	0.0
max_relative_tmd_position	0.0
multi_pass	0.0
single_pass	0.0
