gene	entry_name	protein_name	organism_entry_is_yeast	alphafold_status	notes
AAC1	ADT1_YEAST	ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (Adenine nucleotide translocator 1) (ANT 1)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AAC3	ADT3_YEAST	ADP/ATP translocase 3 (ADP,ATP carrier protein 3) (Adenine nucleotide translocator 3) (ANT 3)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
ADP1	ADP1_YEAST	Probable ATP-dependent permease	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
ADY2	ADY2_YEAST	Accumulation of dyads protein 2 (Ammonia transport outward protein 1)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AFG3	AFG3_YEAST	Mitochondrial inner membrane m-AAA protease component YTA10 (EC 3.4.24.-) (EC 3.6.-.-) (ATPase family gene 3 protein) (Tat-binding homolog 10)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AGC1	AGC1_YEAST	Mitochondrial aspartate-glutamate transporter AGC1 (Aspartate-glutamate carrier 1)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AGP1	AGP1_YEAST	General amino acid permease AGP1 (Asparagine/glutamine permease)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AGP2	AGP2_YEAST	General amino acid permease AGP2	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AGP3	AGP3_YEAST	General amino acid permease AGP3	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AI3	SCE3_YEAST	Intron-encoded DNA endonuclease aI3 (DNA endonuclease I-SceIII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI3 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIII)]	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AI5_ALPHA	SCE4_YEAST	Intron-encoded DNA endonuclease aI5 alpha (DNA endonuclease I-SceIV) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI5 alpha (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIV)]	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AIF1	AIF1_YEAST	Apoptosis-inducing factor 1 (EC 1.-.-.-) (Cercosporin and photosensitizer-detoxification protein 1)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AIM11	AIM11_YEAST	Altered inheritance of mitochondria protein 11 (Genetic interactor of prohibitins 8)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AIM14	AIM14_YEAST	Probable metalloreductase AIM14 (EC 1.16.1.-) (Altered inheritance of mitochondria protein 14)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AIM19	AIM19_YEAST	Altered inheritance of mitochondria protein 19, mitochondrial	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AIM20	AIM20_YEAST	Altered inheritance of mitochondria protein 20	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AIM26	AIM26_YEAST	Altered inheritance of mitochondria protein 26, mitochondrial	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AIM33	AIM33_YEAST	Uncharacterized oxidoreductase AIM33 (EC 1.-.-.-) (Altered inheritance of mitochondria protein 33)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AIM34	AIM34_YEAST	Altered inheritance of mitochondria protein 34, mitochondrial	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AIM36	AIM36_YEAST	Altered inheritance of mitochondria protein 36, mitochondrial (Found in mitochondrial proteome protein 39)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AIM39	AIM39_YEAST	Altered inheritance of mitochondria protein 39, mitochondrial	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AKR1	AKR1_YEAST	Palmitoyltransferase AKR1 (EC 2.3.1.225) (Ankyrin repeat-containing protein AKR1)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
AKR2	AKR2_YEAST	Probable palmitoyltransferase AKR2 (EC 2.3.1.225) (Ankyrin repeat-containing protein AKR2)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
ALE1	ALE1_YEAST	Lysophospholipid acyltransferase (LPLAT) (EC 2.3.1.23) (EC 2.3.1.51) (EC 2.3.1.n6) (EC 2.3.1.n7) (1-acyl-sn-glycerol-3-phosphate acyltransferase) (AGPAT) (Lysophosphatidic acid acyltransferase) (LPAAT) (Lysophosphatidylcholine acyltransferase) (LPCAT) (Lysophosphatidylethanolamine acyltransferase) (LPEAT) (Lysophosphatidylserine acyltransferase) (LPSAT) (Sphingolipid compensation protein 4)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
ALG1	ALG1_YEAST	Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
ALG11	ALG11_YEAST	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Alpha-1,2-mannosyltransferase ALG11) (Asparagine-linked glycosylation protein 11) (Glycolipid 2-alpha-mannosyltransferase)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
ALG12	ALG12_YEAST	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Asparagine-linked glycosylation protein 12) (Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6-mannosyltransferase) (Extracellular mutant protein 39) (Mannosyltransferase ALG12)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
ALG14	ALG14_YEAST	UDP-N-acetylglucosamine transferase subunit ALG14 (Asparagine-linked glycosylation protein 14)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
ALG2	ALG2_YEAST	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
ALG3	ALG3_YEAST	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (HM-1 killer toxin resistance protein)	True	needs_uniprot_accession	Entry name available; UniProt accession still required for AlphaFold DB download.
