gene	protein_length	n_tmd	n_WT_lost	has_WT_lost	n_any_eS7_event	has_any_eS7_event	n_4KR_specific	has_4KR_specific	n_shared	has_shared	single_pass	multi_pass	loc_er	loc_golgi	loc_cell_membrane	loc_mitochondrion	loc_vacuole	loc_nucleus	is_transporter_like	is_transferase_like	mean_tmd_length_aa	mean_relative_tmd_position	min_relative_tmd_position	max_relative_tmd_position	subcellular_location	protein_name	entry_name	uniprot_accession	uniprot_gene_names	uniprot_protein_name	uniprot_length	alphafold_id	alphafold_pdb_url	alphafold_cif_url
AAC1	309	6	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	23.0	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:12740376}; Multi-pass membrane protein {ECO:0000255}.	ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (Adenine nucleotide translocator 1) (ANT 1)	ADT1_YEAST	P04710	AAC1 YMR056C YM9796.09C	ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (Adenine nucleotide translocator 1) (ANT 1)	309	AF-P04710-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P04710-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P04710-F1-model_v4.cif
AAC3	307	6	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	23.0	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12893834}; Multi-pass membrane protein {ECO:0000269|PubMed:24474793, ECO:0000305|PubMed:12893834}.	ADP/ATP translocase 3 (ADP,ATP carrier protein 3) (Adenine nucleotide translocator 3) (ANT 3)	ADT3_YEAST	P18238	AAC3 YBR085W YBR0753	ADP/ATP translocase 3 (ADP,ATP carrier protein 3) (Adenine nucleotide translocator 3) (ANT 3)	307	AF-P18238-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P18238-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P18238-F1-model_v4.cif
ADP1	1049	9	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	20.666666666666668	0.5555555555555556	0.1111111111111111	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095}.	Probable ATP-dependent permease	ADP1_YEAST	P25371	ADP1 YCR011C YCR105 YCR11C	Probable ATP-dependent permease	1049	AF-P25371-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P25371-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P25371-F1-model_v4.cif
ADY2	283	6	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	21.0	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16286509, ECO:0000269|PubMed:17395151}; Multi-pass membrane protein {ECO:0000269|PubMed:16286509, ECO:0000269|PubMed:17395151}. Vacuole membrane {ECO:0000269|PubMed:16286509}; Multi-pass membrane protein {ECO:0000269|PubMed:16286509}. Note=Localizes to large detergent resistant patches of the cell membrane (DRM) enriched in ergosterol and sphingolipids (PubMed:17395151).	Accumulation of dyads protein 2 (Ammonia transport outward protein 1)	ADY2_YEAST	P25613	ADY2 ATO1 YCR010C YCR10C	Accumulation of dyads protein 2 (Ammonia transport outward protein 1)	283	AF-P25613-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P25613-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P25613-F1-model_v4.cif
AFG3	761	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	21.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:8681382}; Multi-pass membrane protein {ECO:0000255}.	Mitochondrial inner membrane m-AAA protease component YTA10 (EC 3.4.24.-) (EC 3.6.-.-) (ATPase family gene 3 protein) (Tat-binding homolog 10)	AFG3_YEAST	P39925	AFG3 YTA10 YER017C	Mitochondrial inner membrane m-AAA protease component YTA10 (EC 3.4.24.-) (EC 3.6.-.-) (ATPase family gene 3 protein) (Tat-binding homolog 10)	761	AF-P39925-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P39925-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P39925-F1-model_v4.cif
AGC1	902	6	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	21.166666666666668	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:14622413}; Multi-pass membrane protein {ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:14622413}.	Mitochondrial aspartate-glutamate transporter AGC1 (Aspartate-glutamate carrier 1)	AGC1_YEAST	Q12482	AGC1 YPR021C YP9367.01C	Mitochondrial aspartate-glutamate transporter AGC1 (Aspartate-glutamate carrier 1)	902	AF-Q12482-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-Q12482-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-Q12482-F1-model_v4.cif
AGP1	633	12	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	21.166666666666668	0.5416666666666666	0.0833333333333333	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.	General amino acid permease AGP1 (Asparagine/glutamine permease)	AGP1_YEAST	P25376	AGP1 YCL025C YCL25C	General amino acid permease AGP1 (Asparagine/glutamine permease)	633	AF-P25376-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P25376-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P25376-F1-model_v4.cif
AGP2	596	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	21.0	0.5416666666666666	0.0833333333333333	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	General amino acid permease AGP2	AGP2_YEAST	P38090	AGP2 YBR132C YBR1007	General amino acid permease AGP2	596	AF-P38090-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P38090-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P38090-F1-model_v4.cif
AGP3	558	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	21.0	0.5416666666666666	0.0833333333333333	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	General amino acid permease AGP3	AGP3_YEAST	P43548	AGP3 YFL055W	General amino acid permease AGP3	558	AF-P43548-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P43548-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P43548-F1-model_v4.cif
AI3	415	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	21.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Mitochondrion. Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Intron-encoded DNA endonuclease aI3 (DNA endonuclease I-SceIII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI3 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIII)]	SCE3_YEAST	P03877	AI3 ENS3 I-SCEIII Q0060	Intron-encoded DNA endonuclease aI3 (DNA endonuclease I-SceIII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI3 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIII)]	415	AF-P03877-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P03877-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P03877-F1-model_v4.cif
