gene	key	tmd_index	tmd_start_aa	tmd_end_aa	tmd_length_aa	protein_length	classification	label_WT_lost	uniprot_accession	alphafold_available	local_pdb
STE2	STE2__TMD1	1	50	72	23	431	No_eS7_event	0	D6VTK4	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/STE2__D6VTK4.pdb
STE2	STE2__TMD2	2	79	102	24	431	No_eS7_event	0	D6VTK4	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/STE2__D6VTK4.pdb
STE2	STE2__TMD3	3	133	156	24	431	No_eS7_event	0	D6VTK4	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/STE2__D6VTK4.pdb
STE2	STE2__TMD4	4	164	188	25	431	No_eS7_event	0	D6VTK4	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/STE2__D6VTK4.pdb
STE2	STE2__TMD5	5	206	230	25	431	No_eS7_event	0	D6VTK4	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/STE2__D6VTK4.pdb
STE2	STE2__TMD6	6	242	266	25	431	No_eS7_event	0	D6VTK4	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/STE2__D6VTK4.pdb
STE2	STE2__TMD7	7	276	299	24	431	No_eS7_event	0	D6VTK4	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/STE2__D6VTK4.pdb
COB	COB__TMD1	1	28	51	24	385	No_eS7_event	0	P00163	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COB__P00163.pdb
COB	COB__TMD2	2	75	102	28	385	No_eS7_event	0	P00163	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COB__P00163.pdb
COB	COB__TMD3	3	111	135	25	385	No_eS7_event	0	P00163	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COB__P00163.pdb
COB	COB__TMD4	4	173	204	32	385	No_eS7_event	0	P00163	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COB__P00163.pdb
COB	COB__TMD5	5	224	246	23	385	No_eS7_event	0	P00163	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COB__P00163.pdb
COB	COB__TMD6	6	288	308	21	385	No_eS7_event	0	P00163	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COB__P00163.pdb
COB	COB__TMD7	7	320	340	21	385	No_eS7_event	0	P00163	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COB__P00163.pdb
COB	COB__TMD8	8	348	364	17	385	No_eS7_event	0	P00163	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COB__P00163.pdb
COX1	COX1__TMD1	1	15	39	25	534	No_eS7_event	0	P00401	1	ProteinLM_JCIM/10_AlphaFold/01_pdb_v6/COX1__P00401.pdb
