mean_tmd_gap	tmd_negative_fraction_std	n_tmd	loc_er	has_WT_lost
29.8	0.0260305621677223	6	0	0
29.6	0.0202524687044738	6	0	0
66.875	0.0523782800878924	9	1	0
9.2	0.0177465712499983	6	0	0
87.0	0.0	2	0	0
29.2	0.02750470146773	6	0	0
18.454545454545453	0.0224478343233824	12	0	0
19.0	0.0296956935458249	12	0	0
17.454545454545453	0.0224478343233824	12	0	0
20.0	0.0	2	0	0
28.77777777777778	0.0240570467139804	10	0	0
0.0	0.0	1	0	0
28.0	0.0	2	0	0
67.25	0.038095238095238	5	0	0
16.0	0.0	4	0	0
0.0	0.0	1	0	0
24.5	0.0224478343233824	3	0	0
61.5	0.0224478343233824	3	0	0
0.0	0.0	1	0	0
0.0	0.0	1	0	0
0.0	0.0	1	0	0
29.6	0.0177465712499983	6	0	0
27.0	0.0	6	0	0
52.0	0.0	7	1	0
0.0	0.0	1	1	0
0.0	0.0	1	1	0
16.727272727272727	0.0234765070757921	12	1	0
0.0	0.0	1	1	0
168.5	0.0224478343233824	3	1	0
20.555555555555557	0.0218217890235992	10	1	0
0.0	0.0	1	1	0
26.3	0.0212077034007201	11	1	0
18.5	0.0410685410411477	11	1	0
20.75	0.0274114094269153	13	1	0
21.75	0.0224478343233824	9	1	0
18.818181818181817	0.020619652471058	12	0	0
8.0	0.0	2	0	0
9.0	0.0	2	0	0
12.416666666666666	0.0171810101092433	13	0	0
0.0	0.0	1	1	0
34.8	0.0177465712499983	6	0	0
16.0	0.0223093292439599	8	0	0
9.0	0.0	2	1	0
21.4	0.0183664099009492	11	0	1
19.0	0.0224478343233824	6	1	0
21.0	0.0238095238095238	2	1	0
22.8	0.0354931424999966	6	0	0
47.0	0.0235653171097806	7	1	0
46.833333333333336	0.0304226935714257	7	1	0
20.083333333333332	0.0297583824345639	13	0	0
15.846153846153848	0.0152142220048644	14	0	0
16.22222222222222	0.019047619047619	10	0	1
9.333333333333334	0.0228213330072966	4	1	0
114.0	0.0238095238095238	2	0	0
30.0	0.0356348322549899	5	0	0
4.0	0.0238095238095238	2	0	0
28.75	0.038095238095238	5	0	0
0.0	0.0	1	0	0
22.0	0.0233284737407921	10	0	0
0.0	0.0	1	0	0
0.0	0.0	1	0	0
33.0	0.0	4	0	0
23.5	0.0388807895679869	3	1	0
91.66666666666669	0.0238095238095238	4	1	0
0.0	0.0	1	0	0
30.8	0.0196418550329596	6	0	0
9.4	0.0177465712499983	6	0	0
17.0	0.0233284737407921	5	0	0
0.0	0.0	1	0	0
0.0	0.0	1	0	0
15.0	0.0177465712499983	6	0	0
0.0	0.0	1	0	0
15.090909090909092	0.0224478343233824	12	0	1
19.428571428571427	0.0336717514850736	8	0	0
14.714285714285714	0.0230534722988536	8	0	0
61.54545454545455	0.0229671563204392	12	0	1
16.0	0.0212077034007201	11	0	0
25.875	0.0224478343233824	9	0	0
15.3	0.0229069377581349	11	0	0
19.90909090909091	0.0659255862136355	12	0	0
21.6	0.0183664099009492	11	0	0
20.7	0.0136895136803825	11	0	0
24.7	0.0212077034007201	11	0	0
0.0	0.0	1	0	0
21.583333333333332	0.0237389769172449	13	0	1
18.727272727272727	0.020619652471058	12	0	0
18.636363636363637	0.0234765070757921	12	0	0
0.0	0.0	1	0	0
0.0	0.0	1	1	0
19.666666666666668	0.0	4	0	0
17.6	0.0177465712499983	6	0	0
0.0	0.0	1	1	0
23.636363636363637	0.0177465712499983	12	0	0
18.818181818181817	0.0231556110418906	12	0	1
0.0	0.0	1	1	0
54.5625	0.036949316409728	17	0	0
57.111111111111114	0.019047619047619	10	0	0
87.0	0.0	2	0	0
86.0	0.0	2	0	0
0.0	0.0	1	0	0
18.0	0.0212077034007201	11	0	0
30.0	0.0224478343233824	3	1	0
97.875	0.0197971290305499	9	1	0
24.0	0.0	2	0	0
41.0	0.0238095238095238	2	0	0
40.0	0.0238095238095238	2	0	0
15.166666666666666	0.0235653171097806	7	1	0
18.181818181818183	0.0224478343233824	12	0	0
44.0	0.0224478343233824	3	1	0
0.0	0.0	1	0	0
0.0	0.0	1	0	0
0.0	0.0	1	0	0
29.25	0.0356348322549899	5	0	0
73.71428571428571	0.0331414545406549	8	0	1
42.72727272727273	0.0382882857327265	23	0	1
192.0	0.0	3	0	0
0.0	0.0	1	0	0
266.0	0.0	2	0	0
30.8	0.0177465712499983	6	1	0
34.333333333333336	0.0	4	1	0
27.1	0.0312168941598613	11	1	0
30.0	0.0166631955291372	7	0	0
22.666666666666668	0.0215120929263155	7	0	0
157.8	0.0783308264261472	6	0	0
13.0	0.0235653171097806	7	1	0
0.0	0.0	1	1	0
0.0	0.0	1	0	0
0.0	0.0	1	0	0
20.857142857142858	0.0143790832123075	8	0	0
22.333333333333332	0.0166631955291372	7	0	0
49.666666666666664	0.0	4	0	0
