Entry	Entry Name	Gene Names	Protein names	Length
A0A0B7P3V8	YP41B_YEAST	TY4B-P YPLCTy4-1 POL YPL060C-A	Transposon Ty4-P Gag-Pol polyprotein (TY4A-TY4B) (Transposon Ty4 TYA-TYB polyprotein) [Includes: Capsid protein (CA); Ty4 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	1104
D6VTK4	STE2_YEAST	STE2 YFL026W	Pheromone alpha factor receptor	431
O13297	CET1_YEAST	CET1 YPL228W P1433	mRNA-capping enzyme subunit beta (EC 3.6.1.74) (mRNA 5'-phosphatase) (mRNA 5'-triphosphate monophosphatase)	549
O13329	FOB1_YEAST	FOB1 HRM1 YDR110W YD9727.06	DNA replication fork-blocking protein FOB1	566
O13516	RS9A_YEAST	RPS9A RPS13A YS11A YPL081W	Small ribosomal subunit protein uS4A (40S ribosomal protein S9-A) (RP21) (S13) (YP28) (YS11)	197
O13525	COQ4_YEAST	COQ4 YDR204W YD8142.01	Ubiquinone biosynthesis protein COQ4, mitochondrial (4-hydroxy-3-methoxy-5-polyprenylbenzoate decarboxylase) (EC 4.1.1.130) (Coenzyme Q biosynthesis protein 4)	335
O13527	YA11B_YEAST	TY1B-A YARCTy1-1 POL YAR009C	Truncated transposon Ty1-A Gag-Pol polyprotein (TY1B) (Transposon Ty1 TYB polyprotein) [Cleaved into: Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1196
O13535	YH11B_YEAST	TY1B-H YHRCTy1-1 POL YHR214C-B	Transposon Ty1-H Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	1793
O13539	THP2_YEAST	THP2 YHR167W	THO complex subunit THP2	261
O13547	CCW14_YEAST	CCW14 ICWP SSR1 YLR390W-A YLR391W-A	Covalently-linked cell wall protein 14 (Inner cell wall protein)	238
O13563	RPN13_YEAST	RPN13 DAQ1 YLR421C	26S proteasome regulatory subunit RPN13 (Proteasome non-ATPase subunit 13)	156
O14455	RL36B_YEAST	RPL36B RPL39B YPL249C-A YPL249BC	Large ribosomal subunit protein eL36B (60S ribosomal protein L36-B) (L39) (YL39)	100
O14467	MBF1_YEAST	MBF1 SUF13 YOR298C-A	Multiprotein-bridging factor 1 (Suppressor of frameshift mutations protein 13)	151
O60200	MDM35_YEAST	MDM35 YKL053C-A	Mitochondrial distribution and morphology protein 35	86
O74700	TIM9_YEAST	TIM9 YEL020W-A YEL020BW	Mitochondrial import inner membrane translocase subunit TIM9	87
O94742	SEM1_YEAST	SEM1 DSH1 YDR363W-A	26S proteasome complex subunit SEM1	89
P00044	CYC1_YEAST	CYC1 YJR048W J1653	Cytochrome c isoform 1 (Iso-1-cytochrome c) (Cytochrome c aerobic isoform)	109
P00127	QCR6_YEAST	QCR6 UCR6 YFR033C	Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VI) (Cytochrome c1 non-heme 17 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c oxidoreductase subunit 6) (Ubiquinol-cytochrome c reductase 17 kDa protein)	147
P00128	QCR7_YEAST	QCR7 CRO1 UCR7 YDR529C D9719.32	Cytochrome b-c1 complex subunit 7, mitochondrial (Complex III subunit 7) (Complex III subunit VII) (Ubiquinol-cytochrome c oxidoreductase subunit 7) (Ubiquinol-cytochrome c reductase 14 kDa protein)	127
P00163	CYB_YEAST	COB CYTB Q0105	Cytochrome b (EC 7.1.1.8) (Complex III subunit 3) (Complex III subunit CYTB) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Cytochrome b-c1 complex subunit CYTB) (Ubiquinol-cytochrome c oxidoreductase complex cytochrome b subunit)	385
P00175	CYB2_YEAST	CYB2 YML054C YM9958.08C	L-lactate dehydrogenase (cytochrome) (EC 1.1.2.3) (Cytochrome b2) (Flavocytochrome b2) (FCB2) (L-lactate ferricytochrome c oxidoreductase) (L-LCR)	591
P00330	ADH1_YEAST	ADH1 ADC1 YOL086C O0947	Alcohol dehydrogenase 1 (EC 1.1.1.1) (EC 1.1.1.54) (EC 1.1.1.78) (Alcohol dehydrogenase I) (ADHI) (NADH-dependent methylglyoxal reductase) (YADH-1)	348
P00331	ADH2_YEAST	ADH2 ADR2 YMR303C YM9952.05C	Alcohol dehydrogenase 2 (EC 1.1.1.1) (Alcohol dehydrogenase II) (ADHII) (YADH-2)	348
P00358	G3P2_YEAST	TDH2 GPD2 YJR009C J1433	Glyceraldehyde-3-phosphate dehydrogenase 2 (GAPDH 2) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)	332
P00359	G3P3_YEAST	TDH3 GPD3 YGR192C G7576	Glyceraldehyde-3-phosphate dehydrogenase 3 (GAPDH 3) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)	332
P00360	G3P1_YEAST	TDH1 GPD1 SSS2 YJL052W J1154	Glyceraldehyde-3-phosphate dehydrogenase 1 (GAPDH 1) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)	332
P00401	COX1_YEAST	COX1 OXI3 Q0045	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	534
P00410	COX2_YEAST	COX2 OXI1 Q0250	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	251
P00420	COX3_YEAST	COX3 OXI2 Q0275	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	269
P00424	COX5A_YEAST	COX5A YNL052W N2474 YNL2474W	Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)	153
P00431	CCPR_YEAST	CCP1 CCP CPO YKR066C	Cytochrome c peroxidase, mitochondrial (CCP) (EC 1.11.1.5)	361
P00445	SODC_YEAST	SOD1 YJR104C J1968	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (EC 1.8.-.-) (Hydrogen sulfide oxidase)	154
