gene	protein_length	n_tmd	n_WT_lost	has_WT_lost	n_any_eS7_event	has_any_eS7_event	n_4KR_specific	has_4KR_specific	n_shared	has_shared	single_pass	multi_pass	loc_er	loc_golgi	loc_cell_membrane	loc_mitochondrion	loc_vacuole	loc_nucleus	is_transporter_like	is_transferase_like	mean_tmd_length_aa	mean_relative_tmd_position	min_relative_tmd_position	max_relative_tmd_position	subcellular_location	protein_name	entry_name	tmd_length_median	tmd_length_std	tmd_length_min	tmd_length_max	relative_position_std	first_tmd_position	last_tmd_position	tmd_density	tmd_aa_fraction	mean_tmd_gap	max_tmd_gap	protein_hydrophobicity_mean	protein_aromatic_fraction	protein_positive_fraction	protein_negative_fraction	protein_KR_fraction	protein_DE_fraction	protein_charge_balance_pos_minus_neg	tmd_hydrophobicity_mean	tmd_hydrophobicity_std	tmd_hydrophobicity_min	tmd_hydrophobicity_max	tmd_aromatic_fraction_mean	tmd_aromatic_fraction_std	tmd_positive_fraction_mean	tmd_positive_fraction_std	tmd_negative_fraction_mean	tmd_negative_fraction_std	tmd_charge_balance_mean	tmd_charge_balance_std	uniprot_accession	alphafold_available	af_n_residues	af_plddt_mean	af_plddt_median	af_plddt_std	af_plddt_min	af_plddt_max	af_frac_plddt_gt90	af_frac_plddt_70_90	af_frac_plddt_50_70	af_frac_plddt_lt50	af_radius_of_gyration	af_max_dimension	af_compactness_rg_per_residue	af_compactness_dmax_per_residue
AAC1	309	6	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	23.0	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:12740376}; Multi-pass membrane protein {ECO:0000255}.	ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (Adenine nucleotide translocator 1) (ANT 1)	ADT1_YEAST	21.5	2.6457513110645907	21.0	28.0	0.2846375212766555	0.1666666666666666	1.0	0.0194174757281553	0.4466019417475728	29.8	49.0	0.0064724919093851	0.1229773462783171	0.1359223300970873	0.0744336569579288	0.1262135922330097	0.0744336569579288	0.0614886731391585	0.8341277056277057	0.3721924718236787	0.0959999999999999	1.238095238095238	0.1554545454545454	0.0656317365798428	0.0679725829725829	0.0515739319096321	0.034083694083694	0.0260305621677223	0.0338888888888888	0.0429191937627871	P04710	1	309.0	89.77071197411004	93.56	9.948115764308492	50.22	98.62	0.6699029126213593	0.2718446601941747	0.058252427184466	0.0	21.21732595379865	69.06348301381853	0.0686644852873742	0.2235064175204483
AAC3	307	6	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	23.0	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12893834}; Multi-pass membrane protein {ECO:0000269|PubMed:24474793, ECO:0000305|PubMed:12893834}.	ADP/ATP translocase 3 (ADP,ATP carrier protein 3) (Adenine nucleotide translocator 3) (ANT 3)	ADT3_YEAST	21.5	2.6457513110645907	21.0	28.0	0.2846375212766555	0.1666666666666666	1.0	0.019543973941368	0.4495114006514658	29.6	49.0	0.0872964169381108	0.1140065146579804	0.1335504885993485	0.0684039087947882	0.1335504885993485	0.0684039087947882	0.0651465798045602	0.8180209235209235	0.3374710568435598	0.192	1.1863636363636365	0.1386724386724387	0.0638469029800973	0.0679725829725829	0.0515739319096321	0.0281313131313131	0.0202524687044738	0.0398412698412698	0.0451767894260655	P18238	1	307.0	92.0155374592834	94.81	7.932560982049796	51.44	98.69	0.749185667752443	0.2214983713355048	0.0293159609120521	0.0	20.965052802678265	66.38066311057761	0.0682900742758249	0.2162236583406437
ADP1	1049	9	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	20.666666666666668	0.5555555555555556	0.1111111111111111	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095}.	Probable ATP-dependent permease	ADP1_YEAST	21.0	0.9428090415820634	18.0	21.0	0.2868876552746234	0.1111111111111111	1.0	0.0085795996186844	0.1773117254528122	66.875	312.0	-0.0008579599618685	0.102001906577693	0.1029551954242135	0.1201143946615824	0.0934223069590085	0.1201143946615824	-0.0171591992373689	1.8328042328042329	0.4328967184918942	1.1	2.39047619047619	0.1613756613756613	0.0950910092889493	0.0105820105820105	0.0197971290305499	0.029100529100529	0.0523782800878924	-0.0185185185185185	0.0612478143004773	P25371	1	1049.0	79.39066730219257	87.38	18.74951540353474	25.83	97.19	0.3651096282173499	0.4242135367016206	0.0838894184938036	0.1267874165872259	52.20859526506754	184.70759110821623	0.0497698715586916	0.1760796864711308
ADY2	283	6	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	21.0	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16286509, ECO:0000269|PubMed:17395151}; Multi-pass membrane protein {ECO:0000269|PubMed:16286509, ECO:0000269|PubMed:17395151}. Vacuole membrane {ECO:0000269|PubMed:16286509}; Multi-pass membrane protein {ECO:0000269|PubMed:16286509}. Note=Localizes to large detergent resistant patches of the cell membrane (DRM) enriched in ergosterol and sphingolipids (PubMed:17395151).	Accumulation of dyads protein 2 (Ammonia transport outward protein 1)	ADY2_YEAST	21.0	0.0	21.0	21.0	0.2846375212766555	0.1666666666666666	1.0	0.0212014134275618	0.4452296819787986	9.2	13.0	0.3512367491166077	0.1484098939929328	0.0636042402826855	0.0742049469964664	0.0494699646643109	0.0742049469964664	-0.0106007067137809	1.6571428571428573	0.4393959297362493	1.276190476190476	2.5809523809523807	0.2142857142857143	0.0659255862136355	0.0	0.0	0.0079365079365079	0.0177465712499983	-0.0079365079365079	0.0177465712499983	P25613	1	283.0	79.50692579505301	91.06	22.744058287145062	31.16	98.5	0.5123674911660777	0.2261484098939929	0.0671378091872791	0.1943462897526501	29.940244563268173	111.0039067510689	0.1057959171846932	0.392239953183989
AFG3	761	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	21.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:8681382}; Multi-pass membrane protein {ECO:0000255}.	Mitochondrial inner membrane m-AAA protease component YTA10 (EC 3.4.24.-) (EC 3.6.-.-) (ATPase family gene 3 protein) (Tat-binding homolog 10)	AFG3_YEAST	21.0	0.0	21.0	21.0	0.25	0.5	1.0	0.0026281208935611	0.0551905387647831	87.0	87.0	-0.3629434954007885	0.0788436268068331	0.1511169513797634	0.114323258869908	0.1314060446780552	0.114323258869908	0.0367936925098554	1.6238095238095238	0.1952380952380954	1.4285714285714284	1.8190476190476192	0.238095238095238	0.0476190476190476	0.0	0.0	0.0	0.0	0.0	0.0	P39925	1	761.0	74.8615505913272	85.12	21.943017566749887	23.86	97.31	0.3298291721419185	0.3666228646517739	0.1090670170827858	0.1944809461235216	37.80028213391014	126.01469141731054	0.0496718556293168	0.1655909217047445
AGC1	902	6	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	21.166666666666668	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:14622413}; Multi-pass membrane protein {ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:14622413}.	Mitochondrial aspartate-glutamate transporter AGC1 (Aspartate-glutamate carrier 1)	AGC1_YEAST	21.0	0.3726779962499649	21.0	22.0	0.2846375212766555	0.1666666666666666	1.0	0.0066518847006651	0.1407982261640798	29.2	38.0	-0.4492239467849224	0.1241685144124168	0.147450110864745	0.1241685144124168	0.1274944567627494	0.1241685144124168	0.0232815964523281	0.8946608946608946	0.5100383265122228	0.1761904761904761	1.5238095238095235	0.1176046176046176	0.0433921355086721	0.0472582972582972	0.054991656630566	0.0472582972582972	0.02750470146773	0.0	0.0673435029701473	Q12482	1	902.0	68.61072062084257	77.94	21.776655553276015	19.92	95.06	0.0787139689578714	0.5310421286031042	0.1596452328159645	0.2305986696230598	41.11679250561772	130.9415100302421	0.0455840271680905	0.1451679712086941
AGP1	633	12	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	21.166666666666668	0.5416666666666666	0.0833333333333333	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.	General amino acid permease AGP1 (Asparagine/glutamine permease)	AGP1_YEAST	21.0	0.5527707983925666	21.0	23.0	0.2876710441278886	0.0833333333333333	1.0	0.0189573459715639	0.4012638230647709	18.454545454545453	33.0	0.2270142180094786	0.1216429699842022	0.1011058451816745	0.0853080568720379	0.0805687203791469	0.0853080568720379	0.0157977883096366	1.7393547273982055	0.3761322022988654	1.0571428571428574	2.319047619047619	0.1576949620427881	0.0764170262291915	0.015527950310559	0.02198422420455	0.0158730158730158	0.0224478343233824	-0.0003450655624568	0.033199898099817	P25376	1	633.0	78.64170616113744	87.94	20.6365292141214	27.38	96.94	0.4123222748815165	0.3838862559241706	0.0426540284360189	0.1611374407582938	28.21184863746104	99.62722561127556	0.044568481259812	0.1573889820083342
AGP2	596	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	21.0	0.5416666666666666	0.0833333333333333	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	General amino acid permease AGP2	AGP2_YEAST	21.0	0.0	21.0	21.0	0.2876710441278886	0.0833333333333333	1.0	0.0201342281879194	0.4228187919463087	19.0	40.0	0.2315436241610737	0.1409395973154362	0.1057046979865771	0.0889261744966442	0.087248322147651	0.0889261744966442	0.0167785234899328	1.7654761904761902	0.3321471240552003	1.1238095238095238	2.142857142857143	0.1547619047619047	0.0827644984706913	0.0158730158730158	0.0224478343233824	0.0158730158730158	0.0296956935458249	0.0	0.0434700442464417	P38090	1	596.0	80.81726510067114	89.44	20.543515634730575	26.69	97.69	0.4630872483221476	0.3640939597315436	0.0335570469798657	0.1392617449664429	28.109430018136887	108.6856721467922	0.0471634731847934	0.1823585103134097
AGP3	558	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	21.0	0.5416666666666666	0.0833333333333333	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	General amino acid permease AGP3	AGP3_YEAST	21.0	0.0	21.0	21.0	0.2876710441278886	0.0833333333333333	1.0	0.021505376344086	0.4516129032258064	17.454545454545453	30.0	0.4729390681003584	0.1326164874551971	0.089605734767025	0.0734767025089605	0.0734767025089605	0.0734767025089605	0.0161290322580645	1.7345238095238094	0.2205103422416402	1.5238095238095235	2.2476190476190476	0.1706349206349206	0.0921284663987611	0.0119047619047619	0.020619652471058	0.0158730158730158	0.0224478343233824	-0.0039682539682539	0.0361525142029535	P43548	1	558.0	81.86616487455197	89.22	19.04646583802499	26.31	97.94	0.4587813620071684	0.3853046594982078	0.0340501792114695	0.1218637992831541	24.9271731507914	102.92248635745251	0.0446723533168304	0.1844489002821729
AI3	415	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	21.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Mitochondrion. Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Intron-encoded DNA endonuclease aI3 (DNA endonuclease I-SceIII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI3 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIII)]	SCE3_YEAST	21.0	0.0	21.0	21.0	0.25	0.5	1.0	0.0048192771084337	0.1012048192771084	20.0	20.0	-0.2990361445783132	0.1277108433734939	0.1277108433734939	0.0674698795180722	0.1132530120481927	0.0674698795180722	0.0602409638554216	2.2380952380952377	0.2666666666666665	1.9714285714285713	2.5047619047619043	0.119047619047619	0.0238095238095238	0.0238095238095238	0.0238095238095238	0.0	0.0	0.0238095238095238	0.0238095238095238	P03877	1	415.0	82.3566265060241	90.0	17.66727935206425	22.77	97.5	0.4963855421686747	0.3132530120481928	0.1012048192771084	0.0891566265060241	30.678785221407313	103.07268836117548	0.0739247836660417	0.2483679237618686
