gene	uniprot_accession	alphafold_available	af_n_residues	af_plddt_mean	af_plddt_median	af_plddt_std	af_plddt_min	af_plddt_max	af_frac_plddt_gt90	af_frac_plddt_70_90	af_frac_plddt_50_70	af_frac_plddt_lt50	af_radius_of_gyration	af_max_dimension	af_compactness_rg_per_residue	af_compactness_dmax_per_residue
AAC1	P04710	1	309.0	89.77071197411004	93.56	9.948115764308493	50.22	98.62	0.6699029126213593	0.27184466019417475	0.05825242718446602	0.0	21.21732595379865	69.06348301381853	0.06866448528737427	0.2235064175204483
AAC3	P18238	1	307.0	92.0155374592834	94.81	7.932560982049796	51.44	98.69	0.749185667752443	0.22149837133550487	0.029315960912052116	0.0	20.965052802678265	66.38066311057761	0.06829007427582497	0.2162236583406437
ADP1	P25371	1	1049.0	79.39066730219257	87.38	18.74951540353474	25.83	97.19	0.3651096282173499	0.4242135367016206	0.08388941849380362	0.12678741658722592	52.20859526506754	184.70759110821623	0.04976987155869165	0.17607968647113081
ADY2	P25613	1	283.0	79.50692579505301	91.06	22.744058287145062	31.16	98.5	0.5123674911660777	0.22614840989399293	0.06713780918727916	0.19434628975265017	29.940244563268173	111.0039067510689	0.1057959171846932	0.392239953183989
AFG3	P39925	1	761.0	74.8615505913272	85.12	21.943017566749887	23.86	97.31	0.32982917214191854	0.36662286465177396	0.10906701708278581	0.19448094612352168	37.80028213391014	126.01469141731054	0.04967185562931687	0.1655909217047445
AGC1	Q12482	1	902.0	68.61072062084257	77.94	21.776655553276015	19.92	95.06	0.0787139689578714	0.5310421286031042	0.15964523281596452	0.23059866962305986	41.11679250561772	130.9415100302421	0.045584027168090596	0.14516797120869415
AGP1	P25376	1	633.0	78.64170616113744	87.94	20.6365292141214	27.38	96.94	0.41232227488151657	0.38388625592417064	0.04265402843601896	0.16113744075829384	28.21184863746104	99.62722561127556	0.04456848125981207	0.15738898200833423
AGP2	P38090	1	596.0	80.81726510067114	89.44	20.543515634730575	26.69	97.69	0.46308724832214765	0.3640939597315436	0.03355704697986577	0.13926174496644295	28.109430018136887	108.68567214679219	0.047163473184793435	0.18235851031340972
AGP3	P43548	1	558.0	81.86616487455197	89.22	19.04646583802499	26.31	97.94	0.45878136200716846	0.38530465949820786	0.034050179211469536	0.12186379928315412	24.9271731507914	102.92248635745253	0.04467235331683047	0.18444890028217298
AI3	P03877	1	415.0	82.3566265060241	90.0	17.66727935206425	22.77	97.5	0.4963855421686747	0.3132530120481928	0.10120481927710843	0.0891566265060241	30.678785221407313	103.07268836117548	0.07392478366604172	0.24836792376186861
AI5_ALPHA	Q9ZZX1	1	630.0	86.32222222222222	94.53	19.08204823657561	26.83	98.69	0.692063492063492	0.16507936507936508	0.02857142857142857	0.11428571428571428	35.20873176373304	107.29762566338549	0.05588687581544927	0.17031369152918333
AIF1	P52923	1	378.0	94.61320105820106	96.69	5.89646738173919	49.12	98.88	0.8624338624338624	0.12698412698412698	0.007936507936507936	0.0026455026455026454	21.497103805837373	72.12104536818639	0.05687064498898776	0.1907964163179534
AIM11	P87275	1	137.0	82.71722627737225	85.44	13.646796459987648	40.47	97.38	0.35036496350364965	0.48905109489051096	0.10218978102189781	0.058394160583941604	27.505996786532503	88.91808039425953	0.2007736991717701	0.6490370831697776
AIM14	P53109	1	570.0	79.72098245614035	88.94	21.543097313102344	24.34	98.06	0.47543859649122805	0.3175438596491228	0.05964912280701754	0.14736842105263157	28.614377716954426	123.89256880862548	0.05020066266132355	0.21735538387478154
AIM19	P40502	1	157.0	60.32630573248407	59.72	9.234386325630211	39.5	82.19	0.0	0.12738853503184713	0.7261146496815286	0.1464968152866242	21.9078322176405	84.01752599309266	0.1395403325964363	0.5351434776630106
AIM20	P40451	1	204.0	61.87382352941176	59.2	17.136144522794883	35.69	96.81	0.09313725490196079	0.20588235294117646	0.4117647058823529	0.28921568627450983	32.492340500596434	114.89748847124554	0.15927617892449233	0.563222982702184
AIM26	P32858	1	118.0	35.21661016949153	35.25	5.540006152529623	22.88	50.88	0.0	0.0	0.00847457627118644	0.9915254237288136	17.61466055969762	63.82410006416072	0.1492767844042171	0.5408822039335655
AIM33	Q04516	1	312.0	87.25564102564103	93.19	14.273348401446876	41.91	98.56	0.6634615384615384	0.1955128205128205	0.09935897435897435	0.041666666666666664	26.274447828530814	89.9003899713455	0.08421297380939363	0.2881422755491843
AIM34	Q03673	1	198.0	66.7939898989899	61.155	19.28426690964223	35.75	97.44	0.23232323232323232	0.15151515151515152	0.3838383838383838	0.23232323232323232	41.19758288105727	134.08837364216183	0.20806860040938016	0.6772140082937466
AIM36	Q03798	1	255.0	77.77780392156863	88.5	19.083871659864535	38.34	97.12	0.47058823529411764	0.21176470588235294	0.16862745098039217	0.14901960784313725	31.83539946965453	106.75055760978488	0.12484470380256678	0.4186296376854309
